勇者	戦士	僧侶	魔法使い	武闘家	商人	遊び人	賢者
攻撃魔法	攻撃	攻撃	攻撃	防御	道具を使う	防御	回復魔法
回復魔法	防御	攻撃	攻撃	防御	防御	遊ぶ	防御
回復魔法	攻撃	防御	攻撃	攻撃	防御	攻撃	攻撃魔法
攻撃	防御	防御	攻撃	攻撃	攻撃	遊ぶ	回復魔法
攻撃	防御	防御	攻撃魔法	攻撃	防御	防御	回復魔法
攻撃魔法	攻撃	防御	攻撃	防御	攻撃	攻撃	回復魔法
攻撃魔法	攻撃	回復魔法	攻撃魔法	攻撃	道具を使う	遊ぶ	攻撃
攻撃	攻撃	攻撃	攻撃魔法	防御	防御	遊ぶ	回復魔法
回復魔法	防御	回復魔法	攻撃	防御	攻撃	防御	攻撃
防御	防御	防御	攻撃魔法	防御	道具を使う	攻撃	回復魔法
回復魔法	防御	回復魔法	攻撃	攻撃	道具を使う	攻撃	防御
攻撃	防御	回復魔法	攻撃魔法	防御	防御	攻撃	攻撃
防御	防御	防御	攻撃魔法	攻撃	防御	遊ぶ	回復魔法
攻撃	防御	防御	攻撃	防御	道具を使う	防御	回復魔法
攻撃魔法	防御	攻撃	攻撃魔法	攻撃	防御	攻撃	回復魔法
攻撃	防御	回復魔法	攻撃魔法	攻撃	攻撃	遊ぶ	攻撃魔法
攻撃	攻撃	防御	防御	攻撃	道具を使う	防御	回復魔法
攻撃魔法	攻撃	攻撃	防御	攻撃	攻撃	攻撃	回復魔法
防御	防御	防御	防御	防御	攻撃	防御	回復魔法
回復魔法	攻撃	防御	攻撃	防御	攻撃	防御	防御
攻撃魔法	攻撃	攻撃	防御	防御	防御	遊ぶ	回復魔法
回復魔法	攻撃	攻撃	防御	防御	道具を使う	攻撃	攻撃魔法
攻撃魔法	防御	防御	攻撃魔法	防御	道具を使う	防御	回復魔法
攻撃	防御	回復魔法	防御	攻撃	攻撃	攻撃	攻撃
攻撃魔法	攻撃	回復魔法	防御	攻撃	防御	防御	攻撃魔法
攻撃	防御	防御	攻撃魔法	防御	道具を使う	攻撃	回復魔法
攻撃	防御	防御	攻撃魔法	防御	攻撃	遊ぶ	回復魔法
回復魔法	攻撃	回復魔法	防御	攻撃	攻撃	遊ぶ	回復魔法
攻撃魔法	攻撃	攻撃	攻撃	攻撃	攻撃	攻撃	回復魔法
回復魔法	防御	防御	防御	防御	道具を使う	攻撃	攻撃魔法
回復魔法	防御	攻撃	攻撃魔法	防御	攻撃	遊ぶ	防御
回復魔法	防御	攻撃	攻撃	攻撃	道具を使う	防御	攻撃魔法
防御	防御	攻撃	攻撃	防御	攻撃	防御	回復魔法
攻撃	攻撃	回復魔法	攻撃	防御	道具を使う	防御	攻撃
回復魔法	攻撃	回復魔法	防御	防御	道具を使う	防御	攻撃魔法
防御	攻撃	回復魔法	攻撃魔法	攻撃	防御	攻撃	攻撃魔法
攻撃魔法	攻撃	回復魔法	防御	防御	攻撃	攻撃	回復魔法
攻撃魔法	防御	攻撃	攻撃魔法	防御	攻撃	遊ぶ	回復魔法
攻撃	防御	回復魔法	防御	防御	防御	遊ぶ	防御
防御	攻撃	攻撃	攻撃魔法	攻撃	防御	防御	回復魔法
回復魔法	防御	防御	防御	攻撃	攻撃	防御	防御
防御	防御	回復魔法	防御	防御	防御	遊ぶ	攻撃
防御	防御	回復魔法	攻撃	防御	防御	攻撃	攻撃魔法
攻撃	防御	回復魔法	攻撃魔法	防御	道具を使う	防御	回復魔法
攻撃魔法	防御	防御	防御	攻撃	攻撃	攻撃	回復魔法
回復魔法	防御	回復魔法	攻撃魔法	防御	道具を使う	防御	攻撃
回復魔法	防御	回復魔法	攻撃	攻撃	防御	遊ぶ	回復魔法
攻撃魔法	攻撃	攻撃	防御	攻撃	道具を使う	防御	回復魔法
攻撃	防御	攻撃	攻撃	防御	攻撃	攻撃	回復魔法
回復魔法	攻撃	攻撃	防御	攻撃	攻撃	防御	防御
攻撃魔法	攻撃	回復魔法	防御	防御	道具を使う	遊ぶ	攻撃
攻撃魔法	防御	防御	攻撃魔法	攻撃	攻撃	攻撃	回復魔法
防御	攻撃	攻撃	攻撃魔法	防御	攻撃	攻撃	回復魔法
回復魔法	攻撃	回復魔法	防御	防御	防御	攻撃	防御
回復魔法	防御	回復魔法	攻撃魔法	攻撃	防御	攻撃	回復魔法
防御	攻撃	攻撃	防御	防御	防御	攻撃	回復魔法
防御	攻撃	攻撃	防御	攻撃	攻撃	遊ぶ	回復魔法
防御	防御	回復魔法	攻撃	攻撃	攻撃	遊ぶ	攻撃
防御	防御	攻撃	攻撃	攻撃	道具を使う	遊ぶ	回復魔法
攻撃	防御	攻撃	防御	防御	防御	攻撃	回復魔法
防御	攻撃	回復魔法	攻撃魔法	防御	道具を使う	遊ぶ	防御
攻撃	防御	攻撃	攻撃	攻撃	防御	遊ぶ	回復魔法
攻撃魔法	攻撃	防御	攻撃	攻撃	道具を使う	遊ぶ	回復魔法
攻撃	防御	攻撃	攻撃	防御	道具を使う	防御	回復魔法
回復魔法	攻撃	防御	攻撃魔法	攻撃	道具を使う	防御	攻撃
攻撃	攻撃	防御	防御	防御	攻撃	遊ぶ	回復魔法
防御	防御	防御	防御	攻撃	道具を使う	遊ぶ	回復魔法
