1人目	2人目	3人目
賢者	戦士	遊び人
僧侶	賢者	遊び人
遊び人	魔法使い	賢者
戦士	僧侶	商人
賢者	魔法使い	戦士
商人	魔法使い	遊び人
戦士	武闘家	遊び人
賢者	商人	武闘家
武闘家	僧侶	賢者
僧侶	戦士	武闘家
僧侶	商人	戦士
賢者	遊び人	魔法使い
遊び人	武闘家	魔法使い
武闘家	魔法使い	商人
商人	僧侶	武闘家
僧侶	魔法使い	武闘家
商人	戦士	僧侶
遊び人	賢者	戦士
商人	賢者	魔法使い
僧侶	遊び人	商人
賢者	武闘家	僧侶
魔法使い	賢者	武闘家
賢者	武闘家	商人
武闘家	商人	魔法使い
魔法使い	僧侶	遊び人
武闘家	戦士	遊び人
戦士	賢者	僧侶
商人	武闘家	戦士
遊び人	商人	僧侶
魔法使い	戦士	商人
魔法使い	商人	賢者
僧侶	戦士	賢者
遊び人	僧侶	戦士
商人	遊び人	賢者
魔法使い	遊び人	僧侶
武闘家	遊び人	戦士
僧侶	武闘家	魔法使い
魔法使い	武闘家	戦士
武闘家	賢者	商人
戦士	僧侶	魔法使い
戦士	商人	賢者
武闘家	魔法使い	僧侶
賢者	僧侶	戦士
戦士	遊び人	武闘家
武闘家	商人	遊び人
戦士	魔法使い	遊び人
遊び人	戦士	武闘家
遊び人	武闘家	賢者
商人	戦士	魔法使い
遊び人	魔法使い	商人
